id,year_month,healthboard,department_type,attendance_greater8hrs,attendance_greater12hrs,diff_between_target_met_agg,diff_between_target_met_ep
5505,2011 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5506,2011 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5507,2011 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5508,2011 Dec,NHS Grampian,Emergency Department,5,1,78,78
5509,2011 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5510,2011 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5511,2011 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5512,2011 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5513,2011 Dec,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5514,2011 Dec,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
5515,2011 Dec,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,0,44,44
5516,2011 Dec,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,0,44,44
5517,2011 Dec,NHS Greater Glasgow and Clyde,Emergency Department,1,0,94,94
5518,2011 Dec,NHS Greater Glasgow and Clyde,Emergency Department,1,0,94,94
5519,2011 Dec,NHS Greater Glasgow and Clyde,Emergency Department,6,0,391,391
5520,2011 Dec,NHS Greater Glasgow and Clyde,Emergency Department,6,0,391,391
5521,2011 Dec,NHS Greater Glasgow and Clyde,Emergency Department,8,0,246,246
5522,2011 Dec,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,1,1
5523,2011 Dec,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
5524,2011 Dec,NHS Greater Glasgow and Clyde,Emergency Department,7,0,293,293
5525,2011 Dec,NHS Greater Glasgow and Clyde,Emergency Department,8,0,228,228
5526,2011 Dec,NHS Greater Glasgow and Clyde,Emergency Department,3,0,148,148
5527,2011 Dec,NHS Greater Glasgow and Clyde,Emergency Department,23,0,426,426
5528,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
5529,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
5530,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
5531,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
5532,2011 Dec,NHS Highland,Emergency Department,NA,NA,2,NA
5533,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,11,NA
5534,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
5535,2011 Dec,NHS Highland,Emergency Department,0,0,2,2
5536,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5537,2011 Dec,NHS Highland,Emergency Department,2,0,64,64
5538,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5539,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5540,2011 Dec,NHS Highland,Emergency Department,0,0,15,15
5541,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5542,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5543,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5544,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
5545,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,4,NA
5546,2011 Dec,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
5547,2011 Dec,NHS Lanarkshire,Emergency Department,8,0,294,294
5548,2011 Dec,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5549,2011 Dec,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5550,2011 Dec,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5551,2011 Dec,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5552,2011 Dec,NHS Lanarkshire,Emergency Department,15,0,209,209
5553,2011 Dec,NHS Lanarkshire,Emergency Department,15,0,209,209
5554,2011 Dec,NHS Lanarkshire,Emergency Department,17,2,261,261
5555,2011 Dec,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
5556,2011 Dec,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
5557,2011 Dec,NHS Lothian,Minor Injury Unit or Other,29,0,222,222
5558,2011 Dec,NHS Lothian,Emergency Department,35,10,275,275
5559,2011 Dec,NHS Lothian,Emergency Department,95,6,781,781
5560,2011 Dec,NHS Lothian,Emergency Department,2,0,53,53
5561,2011 Dec,NHS Orkney,Minor Injury Unit or Other,0,0,2,2
5562,2011 Dec,NHS Shetland,Emergency Department,0,0,3,3
5563,2011 Dec,NHS Tayside,Emergency Department,5,0,100,100
5564,2011 Dec,NHS Tayside,Emergency Department,5,0,100,100
5565,2011 Dec,NHS Tayside,Emergency Department,2,0,40,40
5566,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5567,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5568,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5569,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5570,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5571,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5572,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5573,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5574,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5575,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5576,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5577,2011 Dec,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5578,2011 Dec,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
5579,2011 Dec,NHS Western Isles,Emergency Department,1,0,28,28
5580,2011 Dec,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
5581,2012 Jan,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,24,NA
5582,2012 Jan,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,2,NA
5583,2012 Jan,NHS Ayrshire and Arran,Emergency Department,10,0,327,327
5584,2012 Jan,NHS Ayrshire and Arran,Emergency Department,5,0,206,206
5585,2012 Jan,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,8,NA
5586,2012 Jan,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5587,2012 Jan,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5588,2012 Jan,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5589,2012 Jan,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5590,2012 Jan,NHS Borders,Emergency Department,4,0,79,79
5591,2012 Jan,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5592,2012 Jan,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5593,2012 Jan,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5594,2012 Jan,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5595,2012 Jan,NHS Dumfries and Galloway,Emergency Department,2,0,25,25
5596,2012 Jan,NHS Dumfries and Galloway,Emergency Department,1,0,156,156
5597,2012 Jan,NHS Fife,Emergency Department,126,43,439,439
5598,2012 Jan,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
5599,2012 Jan,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
5600,2012 Jan,NHS Fife,Minor Injury Unit or Other,0,0,1,1
5601,2012 Jan,NHS Fife,Emergency Department,74,26,345,345
5602,2012 Jan,NHS Forth Valley,Minor Injury Unit or Other,0,0,0,0
5603,2012 Jan,NHS Forth Valley,Emergency Department,11,1,361,361
5604,2012 Jan,NHS Grampian,Emergency Department,54,10,355,355
5605,2012 Jan,NHS Grampian,Emergency Department,0,0,10,10
5606,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5607,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5608,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5609,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,3,NA
5610,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5611,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
5612,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5613,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5614,2012 Jan,NHS Grampian,Emergency Department,9,1,123,123
5615,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5616,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5617,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5618,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5619,2012 Jan,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5620,2012 Jan,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
5621,2012 Jan,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,0,44,44
5622,2012 Jan,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,0,44,44
5623,2012 Jan,NHS Greater Glasgow and Clyde,Emergency Department,2,0,214,214
5624,2012 Jan,NHS Greater Glasgow and Clyde,Emergency Department,2,0,214,214
5625,2012 Jan,NHS Greater Glasgow and Clyde,Emergency Department,20,0,533,533
5626,2012 Jan,NHS Greater Glasgow and Clyde,Emergency Department,20,0,533,533
5627,2012 Jan,NHS Greater Glasgow and Clyde,Emergency Department,4,0,211,211
5628,2012 Jan,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
5629,2012 Jan,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
5630,2012 Jan,NHS Greater Glasgow and Clyde,Emergency Department,26,2,388,388
5631,2012 Jan,NHS Greater Glasgow and Clyde,Emergency Department,8,0,229,229
5632,2012 Jan,NHS Greater Glasgow and Clyde,Emergency Department,0,0,102,102
5633,2012 Jan,NHS Greater Glasgow and Clyde,Emergency Department,69,0,547,547
5634,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,10,NA
5635,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
5636,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,7,NA
5637,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5638,2012 Jan,NHS Highland,Emergency Department,NA,NA,2,NA
5639,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,15,NA
5640,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
5641,2012 Jan,NHS Highland,Emergency Department,0,0,18,18
5642,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5643,2012 Jan,NHS Highland,Emergency Department,0,0,42,42
5644,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5645,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5646,2012 Jan,NHS Highland,Emergency Department,2,0,27,27
5647,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5648,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5649,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5650,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5651,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
5652,2012 Jan,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5653,2012 Jan,NHS Lanarkshire,Emergency Department,6,0,220,220
5654,2012 Jan,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5655,2012 Jan,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5656,2012 Jan,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5657,2012 Jan,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5658,2012 Jan,NHS Lanarkshire,Emergency Department,38,10,224,224
5659,2012 Jan,NHS Lanarkshire,Emergency Department,38,10,224,224
5660,2012 Jan,NHS Lanarkshire,Emergency Department,10,0,270,270
5661,2012 Jan,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
5662,2012 Jan,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
5663,2012 Jan,NHS Lothian,Minor Injury Unit or Other,23,5,264,264
5664,2012 Jan,NHS Lothian,Emergency Department,16,5,204,204
5665,2012 Jan,NHS Lothian,Emergency Department,156,24,1091,1091
5666,2012 Jan,NHS Lothian,Emergency Department,1,0,34,34
5667,2012 Jan,NHS Orkney,Minor Injury Unit or Other,0,0,4,4
5668,2012 Jan,NHS Shetland,Emergency Department,1,0,3,3
5669,2012 Jan,NHS Tayside,Emergency Department,2,0,85,85
5670,2012 Jan,NHS Tayside,Emergency Department,2,0,85,85
5671,2012 Jan,NHS Tayside,Emergency Department,1,1,27,27
5672,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5673,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5674,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5675,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5676,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5677,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5678,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5679,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5680,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5681,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5682,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5683,2012 Jan,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5684,2012 Jan,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
5685,2012 Jan,NHS Western Isles,Emergency Department,0,0,17,17
5686,2012 Jan,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
5687,2012 Feb,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
5688,2012 Feb,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
5689,2012 Feb,NHS Ayrshire and Arran,Emergency Department,4,0,298,298
5690,2012 Feb,NHS Ayrshire and Arran,Emergency Department,3,0,127,127
5691,2012 Feb,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
5692,2012 Feb,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5693,2012 Feb,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5694,2012 Feb,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5695,2012 Feb,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5696,2012 Feb,NHS Borders,Emergency Department,6,0,77,77
5697,2012 Feb,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5698,2012 Feb,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5699,2012 Feb,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5700,2012 Feb,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5701,2012 Feb,NHS Dumfries and Galloway,Emergency Department,0,0,11,11
5702,2012 Feb,NHS Dumfries and Galloway,Emergency Department,0,0,143,143
5703,2012 Feb,NHS Fife,Emergency Department,227,54,762,762
5704,2012 Feb,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
5705,2012 Feb,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
5706,2012 Feb,NHS Fife,Minor Injury Unit or Other,1,1,6,6
5707,2012 Feb,NHS Forth Valley,Minor Injury Unit or Other,0,0,0,0
5708,2012 Feb,NHS Forth Valley,Emergency Department,17,0,351,351
5709,2012 Feb,NHS Grampian,Emergency Department,49,4,281,281
5710,2012 Feb,NHS Grampian,Emergency Department,0,0,17,17
5711,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5712,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5713,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5714,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
5715,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5716,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5717,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5718,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5719,2012 Feb,NHS Grampian,Emergency Department,1,0,68,68
5720,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5721,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5722,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5723,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5724,2012 Feb,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5725,2012 Feb,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
5726,2012 Feb,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,40,40
5727,2012 Feb,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,40,40
5728,2012 Feb,NHS Greater Glasgow and Clyde,Emergency Department,1,0,88,88
5729,2012 Feb,NHS Greater Glasgow and Clyde,Emergency Department,1,0,88,88
5730,2012 Feb,NHS Greater Glasgow and Clyde,Emergency Department,8,0,373,373
5731,2012 Feb,NHS Greater Glasgow and Clyde,Emergency Department,8,0,373,373
5732,2012 Feb,NHS Greater Glasgow and Clyde,Emergency Department,3,0,234,234
5733,2012 Feb,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
5734,2012 Feb,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
5735,2012 Feb,NHS Greater Glasgow and Clyde,Emergency Department,62,0,470,470
5736,2012 Feb,NHS Greater Glasgow and Clyde,Emergency Department,9,0,249,249
5737,2012 Feb,NHS Greater Glasgow and Clyde,Emergency Department,2,0,198,198
5738,2012 Feb,NHS Greater Glasgow and Clyde,Emergency Department,61,0,420,420
5739,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,4,NA
5740,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
5741,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
5742,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5743,2012 Feb,NHS Highland,Emergency Department,NA,NA,8,NA
5744,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,9,NA
5745,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5746,2012 Feb,NHS Highland,Emergency Department,0,0,9,9
5747,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5748,2012 Feb,NHS Highland,Emergency Department,2,0,91,91
5749,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5750,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5751,2012 Feb,NHS Highland,Emergency Department,2,0,26,26
5752,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5753,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5754,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5755,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5756,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
5757,2012 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5758,2012 Feb,NHS Lanarkshire,Emergency Department,3,0,176,176
5759,2012 Feb,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5760,2012 Feb,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5761,2012 Feb,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5762,2012 Feb,NHS Lanarkshire,Minor Injury Unit or Other,NA,NA,0,NA
5763,2012 Feb,NHS Lanarkshire,Emergency Department,51,10,274,274
5764,2012 Feb,NHS Lanarkshire,Emergency Department,51,10,274,274
5765,2012 Feb,NHS Lanarkshire,Emergency Department,38,12,288,288
5766,2012 Feb,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
5767,2012 Feb,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
5768,2012 Feb,NHS Lothian,Minor Injury Unit or Other,33,4,294,294
5769,2012 Feb,NHS Lothian,Emergency Department,21,10,212,212
5770,2012 Feb,NHS Lothian,Emergency Department,144,10,1294,1294
5771,2012 Feb,NHS Lothian,Emergency Department,1,0,60,60
5772,2012 Feb,NHS Orkney,Minor Injury Unit or Other,0,0,1,1
5773,2012 Feb,NHS Shetland,Emergency Department,1,0,2,2
5774,2012 Feb,NHS Tayside,Emergency Department,0,0,46,46
5775,2012 Feb,NHS Tayside,Emergency Department,0,0,46,46
5776,2012 Feb,NHS Tayside,Emergency Department,3,1,23,23
5777,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5778,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5779,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5780,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5781,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
5782,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5783,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5784,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5785,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5786,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5787,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5788,2012 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
5789,2012 Feb,NHS Western Isles,Minor Injury Unit or Other,NA,NA,2,NA
5790,2012 Feb,NHS Western Isles,Emergency Department,0,0,12,12
5791,2012 Feb,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
5792,2012 Mar,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
5793,2012 Mar,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
5794,2012 Mar,NHS Ayrshire and Arran,Emergency Department,3,1,344,344
5795,2012 Mar,NHS Ayrshire and Arran,Emergency Department,17,11,190,190
5796,2012 Mar,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
5797,2012 Mar,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5798,2012 Mar,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5799,2012 Mar,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5800,2012 Mar,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
5801,2012 Mar,NHS Borders,Emergency Department,6,0,88,88
5802,2012 Mar,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5803,2012 Mar,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5804,2012 Mar,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
5805,2012 Mar,NHS Dumfries and Galloway,Minor Injury Unit or Other,0,0,0,0
5806,2012 Mar,NHS Dumfries and Galloway,Emergency Department,3,0,21,21
5807,2012 Mar,NHS Dumfries and Galloway,Emergency Department,2,0,228,228
5808,2012 Mar,NHS Fife,Emergency Department,65,6,459,459
5809,2012 Mar,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
5810,2012 Mar,NHS Fife,Minor Injury Unit or Other,NA,NA,0,NA
5811,2012 Mar,NHS Fife,Minor Injury Unit or Other,0,0,6,6
5812,2012 Mar,NHS Forth Valley,Minor Injury Unit or Other,0,0,1,1
5813,2012 Mar,NHS Forth Valley,Emergency Department,13,0,531,531
5814,2012 Mar,NHS Grampian,Emergency Department,15,0,249,249
5815,2012 Mar,NHS Grampian,Emergency Department,1,0,27,27
5816,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5817,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5818,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5819,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5820,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5821,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
5822,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5823,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5824,2012 Mar,NHS Grampian,Emergency Department,6,0,105,105
5825,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5826,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5827,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5828,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5829,2012 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
5830,2012 Mar,NHS Grampian,Minor Injury Unit or Other,0,0,0,0
5831,2012 Mar,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,0,53,53
5832,2012 Mar,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,0,53,53
5833,2012 Mar,NHS Greater Glasgow and Clyde,Emergency Department,6,0,116,116
5834,2012 Mar,NHS Greater Glasgow and Clyde,Emergency Department,6,0,116,116
5835,2012 Mar,NHS Greater Glasgow and Clyde,Emergency Department,10,0,436,436
5836,2012 Mar,NHS Greater Glasgow and Clyde,Emergency Department,10,0,436,436
5837,2012 Mar,NHS Greater Glasgow and Clyde,Emergency Department,4,0,204,204
5838,2012 Mar,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
5839,2012 Mar,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
5840,2012 Mar,NHS Greater Glasgow and Clyde,Emergency Department,27,0,424,424
5841,2012 Mar,NHS Greater Glasgow and Clyde,Emergency Department,3,0,220,220
5842,2012 Mar,NHS Greater Glasgow and Clyde,Emergency Department,8,1,338,338
5843,2012 Mar,NHS Greater Glasgow and Clyde,Emergency Department,6,0,327,327
5844,2012 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
5845,2012 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
5846,2012 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,14,NA
5847,2012 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
5848,2012 Mar,NHS Highland,Emergency Department,NA,NA,4,NA
5849,2012 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,8,NA
